aeronáutica ii	regulamentação aeronáutica: regras do ar; regras de voo visual; serviços de tráfego aéreo; fraseologia. meteorologia: introdução à meteorologia; meteorologia aeronáutica; informações meteorológicas. navegação aérea: aspectos práticos da navegação aérea e técnicas de navegação estimada; utilização de cartas aeronáuticas. planejamento de voo e procedimentos operacionais: utilização dos sites de consulta de informações aeronáuticas (ais web) e da rede de meteorologia do comando da aeronáutica (redemet).
álgebra linear	sistemas de equações lineares: sistemas e matrizes; matrizes escalonadas; sistemas homogêneos; posto e nulidade de uma matriz. espaço vetorial: definição e exemplos; subespaços vetoriais; combinação linear; dependência e independência linear; base de um espaço vetorial e mudança de base. transformações lineares: definição de transformação linear e exemplos; núcleo e imagem de uma transformação linear; transformações lineares e matrizes; matriz mudança de base. autovalores e autovetores: polinômio característico; base de autovetores; diagonalização de operadores.
álgebra linear avançada i	corpos; espaço vetorial sobre um corpo; base e dimensão; espaços quocientes, funcionais lineares; espaços duais; complexificação; transformações lineares; espaços invariantes; polinômios (anéis de polinômios); forma de jordan complexa e real; forma canônica racional.
álgebra linear avançada ii	formas bilineares e sesquilineares: formas ortogonais, hermitianas e simpléticas; teorema de classificação das formas ortogonais, hermitianas e simpléticas. espaços com produto interno e hermitiano. grupos clássicos. álgebra multilinear: aplicações multilineares, produto tensorial, isomorfismos canônicos, tensores simétricos e anti-simétricos. álgebra exterior.
algoritmos e estruturas de dados i	breve introdução à linguagem c. noções básicas de análise de complexidade de tempo de algoritmos. estruturas lineares: busca e ordenação. árvores de busca. árvores balanceadas.
algoritmos e estruturas de dados ii	hashing. introdução a arquivos. arquivos seqüenciais. arquivos indexados. arquivos de acesso direto. prática de programação dos arquivos e das funções primitivas na resolução de problemas. compressão de arquivos.
algoritmos probabilísticos	revisão de probabilidade discreta. exemplos de algoritmos aleatorizados: algoritmo para identidade polinomial; sigilo perfeito; max 3-sat. leis de desvios e aplicações em algoritmos e estruturas de dados: hashing universal; treaps. modelos de computação e classes probabilísticas de complexidade. aplicações de cadeias de markov. passeios aleatórios em grafos. algoritmos distribuídos probabilísticos.
análise complexa	integração no plano complexo: formas diferenciais, homotopia e integração, os teoremas de jordan e de green. funções harmônicas no plano.  os espaços de funções holomorfas e meromorfas. produtos infinitos e o teorema de weierstrass.  as funções gama e zeta, aproximação de funções analíticas por funções racionais.  a esfera de riemann. equivalências conformes. automorfismos dos números complexos e do disco unitário. teorema da uniformização de riemann, aplicações conformes.
análise da conjuntura internacional contemporânea	proporcionar uma visão analítica da formulação e da tomada de decisão em política externa de forma a conhecer e interpretar as relações internacionais contemporâneas e seus desdobramentos. analisar cenários de relações internacionais de uma perspectiva integrada. identificação dos processos decisórios em relações internacionais a partir de estudos de caso da conjuntura internacional. identificação dos atores nacionais e internacionais. interpretação a partir das principais escolas e teorias de análise. agências governamentais, papel dos atores não governamentais, mecanismos dos lobbies e dos poderes legislativos. avaliação analítica da escala de objetivos – permanentes, padrões e preferências políticas. desafios da inserção internacional do brasil.
análise da produção do espaço e políticas públicas urbanas	o espaço como produto e condição da reprodução social. o espaço urbano contemporâneo: segregação, fragmentação e hierarquização. as especificidades do espaço urbano em países periféricos: a segregação como parte do processo de produção do urbano. políticas públicas urbanas: seus impasses e limites na superação de um espaço urbano periférico.
análise de algoritmos	conceitos básicos: recorrências, medidas de complexidade: melhor caso, caso médio e pior caso. técnicas gerais de projeto de algoritmos: divisão e conquista, método guloso e programação dinâmica. classes de complexidade: p, np e np-completude.
análise de algoritmos ii	a estratégia gulosa. matróides e fundamentos teóricos da estratégia gulosa. árvore geradora mínima, código de huffman, fórmulas de horn. métodos geométricos elementares e interseção geométrica. problemas do fecho convexo e dos pares de pontos mais próximos. problemas de otimização e algoritmos aproximativos. algoritmos aproximativos para mochila, cobertura, caxeiro viajante. paradigma quantico, qubits, superposição e medida. algoritmo de fatoração de shor e algoritmo de busca de grover.
análise de fourier e aplicações	séries de fourier, integração, diferenciação. representação de funções por séries de fourier e o fenômeno de gibbs. aplicações de séries de fourier em problemas de contorno: equações do calor, de laplace, de cordas e de membranas. transformadas de fourier, inversão, derivação e teorema de convolução. função delta de dirac. aplicações em problemas de contorno e na mecânica quântica. transformadas de laplace, inversão e aplicações.
análise de projetos	introdução à análise de sistemas. metodologia de desenvolvimento orientada a objetos. aspectos de arquitetura de software.
análise de redes de transporte e distribuição	conceituação; grafos, redes e modelos de rede; modelos de problemas de transporte e atribuição; máximo fluxo em redes; mínimo custo do fluxo em rede; otimização do transporte em redes; aplicação com uso de recurso computacional; técnicas heurísticas de busca.
análise de redes de transporte e distribuição de energia	conceituação; grafos, redes e modelos de rede; modelos de problemas de transporte e atribuição; máximo fluxo em redes; mínimo custo do fluxo em rede; otimização do transporte em redes; aplicação com uso de recurso computacional; técnicas heurísticas de busca.
análise de regressão	regressão linear simples. regressão linear múltipla. métodos de diagnóstico. métodos de seleção de variáveis. modelos lineares generalizados.
análise de séries temporais - tópicos especiais	introdução às séries temporais no domínio da frequência. a análise espectral clássica: conceitos e definições da análise de fourier. função de densidade espectral. representações espectrais. estimadores espectrais e estimadores espectrais suavizados. testes para periodicidades. introdução à análise de processos estocásticos integrados fracionariamente: conceitos e definições. modelo auto-regressivo fracionariamente integrado e de médias móveis (arfima). estimadores do parâmetro de integração fracionária nos domínios do tempo e da frequência. análise de cointegração fracionária em séries temporais: conceitos, definições e testes.
análise de sistemas dinâmicos lineares	apresentação de sistemas dinâmicos lineares multivariáveis; descrição por equações de estado; extração dos autovalores e autovetores; matriz de transição de estados; estudo de estabilidade local e global; critérios de estabilidade de lyapunov; linearização de sistemas dinâmicos não-lineares observabilidade; controlabilidade.
análise de sistemas e modelagem ambiental	introdução à teoria geral de sistemas. análise de sistemas ambientais. modelagem de sistemas ambientais. conceituação, desenvolvimento e aplicação. programação linear. interfaces de utilização e aplicações práticas da modelação matemática em sistemas ambientais. modelos de simulação aplicados a casos de cunho ambiental. estudos de técnicas de simulação em situações e problemas ambientais
análise e controle de sistemas mecânicos	esta disciplina tem como objetivo ensinar ao aluno a análise das respostas de um sistema mecânico biomédico controlado por malha fechada, e o projeto e o uso de controladores pid num sistema mecânico.
análise econômica de projetos	noções de empreendedorismo, com foco nas características do empreendedor de sucesso. oprojeto no processo de planejamento da empresa. elaboração de projetos: etapas e roteiro. análisedos aspectos da empresa/negócio: aspectos ambientais e mercadológicos, aspectos técnicos e delocalização e aspectos financeiros. linhas de financiamento. análise da viabilidade.
análise econômica de projetos energéticos	introdução à análise econômica. métodos de análise de viabilidade de investimentos aplicados a projetos energéticos. alternativas de investimento e tomada de decisão. decisões sob incertezas. elaboração de cenários. riscos no mercado de energia. análise de mercado. modelos de projeção. regressão linear simples e múltipla. séries temporais. modelos técnico-econômicos de desagregação setorial.
análise estática em sistemas elétricos de potência	esta disciplina aborda a modelagem dos componentes que envolvem sistemas elétricos de potência em regime permanente. fluxo de potência para redes elétricas: fluxo de potência dc; fluxo de potência ac; fluxo de potência para sistemas de distribuição. métodos de solução. ajustes e controles. elos em corrente contínua.
análise experimental de estruturas	objetivos da análise experimental. introdução à análise dimensional e de incertezas. dispositivos para medições de forças, deslocamentos e deformações (tensões e deformações). extensometria, transdutores de força e de pressão, sistemas de aquisição de dados. procedimentos de ensaios. interpretação de resultados. noções de medição de deformações com fibra  ótica. acelerometria e tratamento de sinais. estudos de casos - exemplos de aplicação em laboratórios.
análise multivariada	gráficos multivariados.  regressão multivariada. componente principal. análise fatorial. discriminação e classificação. análise de agrupamentos. escalonamento multidimensional. correlação canônica. análise de correspondência. análise de variância multivariada.
análise no rn i	topologia do espaço euclidiano n-dimensional. continuidade de funções reais de n variáveis reais. diferenciabilidade de funções reais de n variáveis reais: o teorema de schwarz, a fórmula de taylor, máximos e mínimos e funções convexas. funções implícitas: função implícita, hipersuperfícies e multiplicadores de lagrange; aplicações diferenciáveis: a derivada como transformação linear, várias funções implícitas e o teorema da aplicação inversa.
análise no rn ii	integrais múltiplas: definição de integral, conjuntos de medida nula, condição de integrabilidade (teorema de lebesgue), conjuntos j-mensuráveis.  integral como limite de somas de riemann.  mudança de variáveis. integrais de superfícies. teorema de stokes.
análise numérica	zeros de funções reais: método da bisseção, ponto fixo, newton-raphson. método de newton para sistemas não lineares. resolução numérica de sistemas lineares: fatorações ortogonais, condicionamento da matriz, svd (decomposição em valores singulares), estimativas de erro. métodos iterativos (jacobi, gauss-seidel, sor, gradiente conjugado), análise da convergência, pré-condicionamento de sistemas. interpolação numérica: polinomial (fenômeno de runge) e por partes (splines). problema de quadrados mínimos lineares e não lineares.
análise química instrumental	técnicas espectroscópicas: emissão, absorção e fluorescência atômica, absorção e fluorescência molecular. análise por injeção em fluxo. espectrometria de massas: principais espectrômetros de massas e as respectivas técnicas de ionização. técnicas hifenadas.
análise real i	números reais: propriedades e completeza. seqüências e séries de números reais. topologia da reta: conjuntos abertos e fechados, pontos de acumulação, conjuntos compactos e conjunto de cantor. limite de funções reais. funções contínuas: definição, funções contínuas num intervalo, funções contínuas em conjuntos compactos e continuidade uniforme. funções deriváveis: definição de derivada, derivada e crescimento local, funções deriváveis num intervalo, fórmula de taylor, aplicações da derivada, concavidade e convexidade.
análise real ii	integral de riemann: definição, propriedades da integral, condições suficientes de integrabilidade, teoremas clássicos do cálculo integral (teorema fundamental do cálculo) e integrais impróprias. seqüências e séries de funções: convergência simples e convergência uniforme, propriedades da convergência uniforme, séries de potências e séries de taylor.
análise social da família e implementação de políticas públicas	conceito de família; dinâmica familiar; as várias constituições familiares; laços de parentesco e relações sociais; famílias de camadas populares, camadas médias e classes abastadas; a idéia de casamento; direitos e deveres do casal; ascendência, regras de descendência e filiação; reprodução biológica e social; relações e papéis de gênero; divisão sexual do trabalho; hierarquia de gênero; programas sociais para famílias; políticas públicas de atenção à família: programa de saúde da família; programas de complementação de renda; programas de saúde da mulher; programas de combate à violência doméstica; programas de geração de emprego e renda; programas de educação; formulação de indicadores de acompanhamentos de políticas públicas para a família.
anéis e corpos	definição de anéis e exemplos. domínios de integridade e corpos. subanéis. homomorfismos. ideais e anéis quocientes. isomorfismos. corpo de frações. anéis euclidianos. o anel dos inteiros de gauss. anéis de polinômios. aritmética do anel dos polinômios. corpos numéricos e finitos. elementos da teoria de galois.
antropologia filosófica	introdução aos estudos da antropologia filosófica, leitura e debate de textosfilosóficos, sobretudo de fontes primárias, que apresentem de forma explícita ouvelada determinada concepção de ser humano. em função da característica dinâmicado tema, a bibliografia poderá ser completada pelo professor responsável.
aplicações de elementos finitos para engenharia	noções sobre domínios contínuos e domínios discretos. funções de forma. sistemas de coordenadas local e global. formulação do método dos elementos finitos a partir do método de rayleigh-ritz. formulação da matriz de rigidez do elemento. elementos unidimensionais. elementos bi e tridimensionais. condições de contorno de cargas nodais e de vínculos. formulação isoparamétrica. análise de convergência. aplicações: análise estrutural, análise harmônica e problemas de transferência de calor. utilização de softwares de elementos finitos para simulação de modelos complexos
aplicações de microcontroladores	principais famílias de microcontroladores. utilização de linguagem de alto nível (linguagem c) e linguagem de baixo nível (assembly) na computação em tempo real. aplicações de instrumentação microprocessada.
aplicações multimídia em voz, áudio e acústica	análise por síntese de voz; codificadores de voz de faixa larga e multimídia;  reconhecimento de voz e de locutores; análise e síntese de sinais musicais; codificação de áudio na tv digital; áudio na internet; áudio imersivo; equalização digital acústica de ambientes.
aprendizado de máquina	introdução. tipos de aprendizado. paradigmas de aprendizado. avaliação experimental de algoritmos de aprendizado de máquina. alguns algoritmos de aprendizado de máquina.
arquitetura de computadores	história e evolução dos computadores e sistemas; estrutura de computadores digitais; lógica digital binária; processamento; instruções e linguagem de máquina; microprocessadores modernos: pipeline, super escalar, risc; memórias cache e gerenciamento de memórias; arquitetura de computadores pessoais; arquitetura de computadores paralelos; sistemas computacionais: desempenho e confiabilidade.
arquitetura de computadores de alto desempenho	introdução à computação de alto desempenho. características sistêmicas da computação de alto desempenho. organização de hardware em computação paralela. organização e topologias de interconexões. organização da memória. organização dos sistemas operacionais. aspectos de programação paralela. avaliação de desempenho.
arranjos institucionais e marco regulatório do território	conceitos de território e ordenamento territorial a luz do marco institucional brasileiro. a relação estado-território numa perspectiva histórica: aspectos da construção do estado e nação brasileira; conflitos sociais e territoriais presente nesse processo de construção, relações estado, economia e regulação do território. as relações entre o projeto nacional e o planejamento territorial, o marco regulatório atual tendo em vista os novos recortes territoriais constituídos pelas problemáticas social, ambiental e econômica e as perspectivas de processos de reestruturação / reordenação territorial.
arte, ciência, tecnologia e política	concepções de relações entre arte, ciência e tecnologia no contexto contemporâneo; ligação entre estética e política; novas tecnologias de informação e comunicação; cultura política virtual, musical, visual e audiovisual; convergência de linguagens, cultura digital, hibridismos, percepções e realidades mistas; politicas, éticas e estéticas tecnológicas; simulacros, simulações, mídias e política; estudos de performance e política; corpo, política, arte, ciência e tecnologias; transformações cognitivas, relações de poder, estratégias de controle e políticas públicas.
astrobiologia	abordar os princípios das condições estelares e planetárias favoráveis para (1) surgimento de moléculas orgânicas complexas e (2) origem e evolução de seres vivos. desenvolver o conceito do condicionamento da origem e evolução da vida terrestre por eventos no sistema solar e na via láctea e aplicar o conceito na avaliação da possibilidade da vida nos outros sistemas planetários.
atenção e estados de consciência	princípios; métodos de estudo em humanos e animais; vigilância, alerta e sonolência; atenção espacial e temporal; atenção voluntária e automática; atenção aberta e atenção encoberta; estágios do sono; sonho; estados de consciência alterada; mecanismos biológicos na regulação do sono; circuitos neurais  atencionais; marcadores eletroencefalográficos e psicofisiológicos de estados de consciência.
atores e instituições no regime militar: 1964-1985	a disciplina propõe uma visita às instituições políticas do regime militar e seus principais atores políticos. para isto, mobilizaremos argumentos da ciência política e história, bem como do jornalismo que retrata a época. a principal ideia é contextualizar decisões políticas tomadas entre 1964 e 1985, com o intuito de colocar atores, partidos políticos e instituições em seu devido lugar histórico, sem paixões. pontos: i) militares e política no brasil do século xx; ii) o golpe contra joão goulart; iii) o governo castello branco; iv) ai-5 e 1969; v) um legislativo submisso?; vi) os militares e a arena; vii) médici e a polícia política; viii) geisel e o início da abertura; ix) o ocaso com figueiredo
automação de sistemas elétricos de potência	sistemas digitais para automação; dispositivos eletrônicos inteligentes - ied; automação de subestações; automação de usinas; automação da distribuição; redes inteligentes ¿ smart grid
automação de sistemas industriais	os desafios da automação industrial moderna, classificação de sistemas industriais em função à capacidade de produção, operações, modelos e métricas da produção, elementos básicos e funções avançadas de automação, níveis de automação, controle de processos por computador e controladores lógicos programáveis, programação e integração de sistemas industriais (norma iec 61131). modelagem e simulação de processos industriais integrados mediante plc, avaliação de eficiência energética em projetos de automação industrial (norma iso 50001), projeto de sistemas motrizes eficientes em processos industriais. planejamento e controle da produção, o problema de escalonamento em sistemas de manufatura. modelagem, simulação e otimização de sistemas de escalonamento da produção.
automação em sistemas de manufatura	visão integrada da automação industrial e sistemas de produção; integração de sistemas de produção (cim): organização e funcionamento; níveis de integração; ferramentas de modelagem e análise; controladores de processos industriais (pac); redes: o suporte para a comunicação no ambiente cim.
avaliação de desempenho de redes	motivação para avaliação de desempenho. técnicas de avaliação: modelagem analítica, simulação e medição. metodologia de avaliação de desempenho. métricas de desempenho. geração de números aleatórios. projeto de experimentos. teoria das filas: aplicações e limitações. simulação: tipos, técnicas e limitações. aspectos de medição: tipos, técnicas e ferramentas. avaliação de desempenho da internet. apresentação de resultados.
avaliação de impactos ambientais	histórico e bases legais do licenciamento ambiental, tipos de licenciamento ambiental segundo características dos empreendimentos. elementos e estudos para formulação de estudos de impacto ambiental (eia), relatório de impacto ambiental (rima) e rap ¿ relatório ambiental preliminar. procedimentos e métodos para avaliação dos impactos ambientais. conceitos envolvidos na identificação e formulação de medidas mitigadoras e compensatórias. gestão dos empreendimentos licenciados. termo de ajustamento de conduta (tac) e medidas punitivas por descumprimento da legislação ambiental. limites e desafios do processo de licenciamento ambiental.
avaliação e monitoramento de políticas públicas	conceitos: monitoramento, avaliação, formulação, ciclo de políticas públicas, impacto, eficiência-eficácia-efetividade. metodologias de monitoramento e avaliação: visão geral, focos de análise (objetivos, administração, consumidores, especialistas, participantes). instrumentos e ferramentas de avaliação: marco lógico, árvore de problemas, etc. indicadores e políticas públicas. análise custo-benefício; análise de impacto. visão geral sobre análise de impacto regulatório. o contexto e as implicações políticas da avaliação.
avaliação no ensino de química	reflexões sobre a avaliação: o quê, como e por que avaliar. avaliação formativa, diagnóstica e seletiva. explorar diferentes formas e tipos de avaliação e a sua integração ao planejamento do curso. planejar uma avaliação e refletir sobre o processo de sua construção.
aviônica	introdução sistemas aviônicos, bus arincs e mil1553; introdução à navegação, rádio navegação e trajetórias de vôo; espectro eletromagnético; princípios propagação, princípios de radares; conceitos de eletrônica digital/analógica, microprocessadores, software embarcado, mostradores, displays; sensores usados em aeronáutica; sistemas comunicação aeronáutica.
banco de dados	conceitos básicos: arquitetura de um sistema de banco de dados, modelos de dados, linguagens de definição e manipulação de dados, usuário de banco de dados. modelagem de dados. modelos de dados: relacional, hierárquicos e de redes. projeto de banco de dados relacional: dependência funcional, chaves, normalização, álgebra relacional e sql.
banco de dados de apoio à tomada de decisão	data warehouse. descoberta de conhecimento de bases de dados. dw e business intelligence.
base experimental das ciências naturais	experimentos selecionados que abrangem áreas diversas, como física, química e biologia. desenvolvimento de um projeto final, de caráter científico, cujo tema é escolhido pelos alunos. o método científico. escrita científica. apresentação de trabalho em simpósio.
bases biológicas para engenharia i	introdução à anatomia e fisiopatologia humana; inflamação e resposta imunológica; introdução às principais técnicas de diagnóstico e terapia. sistema cardiovascular: anatomia, fisiologia, fisiopatologia. técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema cardiovascular. sistema respiratório: anatomia, fisiologia, fisiopatologia. técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema respiratório. sistema endócrino: fisiopatologia da diabetes, técnicas de monitorização, diagnóstico e terapêutica aplicados à diabetes e às outras doenças comuns do sistema endócrino.
bases biológicas para engenharia ii	sistema digestório: anatomia, fisiologia, fisiopatologia. técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema digestório. sistema reprodutor: fisiopatologia e técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema reprodutor. sistema renal: anatomia, fisiologia, fisiopatologia. técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema renal. sistema neuro-muscular: anatomia, fisiologia, fisiopatologia. técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema neuro-muscular. ergonomia; fisiologia do exercício e introdução à biomecânica.
bases computacionais da ciência	conceitos básicos da computação e a sua relação com a ciência. modelagem e simulações por computador, através da integração com as disciplinas de base experimental das ciências naturais e matemática básica.
bases computacionais da ciência	fundamentos da computação; representação gráfica de funções; noções de estatística, correlação e regressão; base de dados; lógica de programação: variáveis e estruturas sequenciais; lógica de programação: estruturas condicionais; lógica de programação: estruturas de repetição; modelagem e simulação computacional: conceitos fundamentais; modelagem e simulação computacional: a ciência na prática.
bases epistemológicas da ciência moderna	epistemologia e ciência: doxa e episteme; senso comum e justificação da crença; os fundamentos do conhecimento objetivo; o problema do ceticismo.
bases matemáticas	elementos de linguagem e lógica matemática: proposições, conectivos e quantificadores, condições necessária e suficiente. elementos da teoria ingênua de conjuntos: conjuntos, subconjuntos, operações com conjuntos: união e intersecção. conjuntos numéricos: números naturais e indução. números reais. equações e inequações. funções: definição e propriedades. funções injetoras e sobrejetoras. operação com funções. função composta e inversa. funções reais: função escada, função módulo, funções lineares, funções polinomiais, funções racionais, funções trigonométricas, funções trigonométricas inversas, funções exponenciais e funções logarítmicas. gráficos de funções. transformações do gráfico de uma função: translação e dilatação. limite e continuidade: conceito de limite de função; propriedades dos limites; teorema do confronto, limites laterais; limites infinitos; continuidade; teorema do valor intermediário.
bases neurais da motricidade	princípios gerais e exemplos de controle motor em sistemas biológicos, com ênfase nos mecanismos neurais que regem diferentes aspectos do movimento e do planejamento do movimento: recepção sensorial, reflexos, organização da espinha dorsal, geradores de padrões, funções musculares, locomoção, movimentos oculares, aspectos cognitivos do movimento, função de estruturas motoras centrais, plasticidade cortical, aprendizagem motor, abordagens computacionais do controle motor, distúrbios motores.
biocombustíveis e biorrefinarias	conceito e tipos de biorrefinarias. matérias primas para produção de biocombustiveis. processos de transformação para produção de biocombustíveis (fermentação, entre outros) e para biorrefinarias. transformação e uso de produtos naturais. aspectos econômicos, sociais e ambientais. políticas públicas. legislação e regulação.
biodiversidade: interações entre organismos e ambiente	meio físico e biomas. energia e ciclos biogeoquímicos. adaptação em ambientes variantes. ciclos de vida, sexo e evolução. comportamento social. estrutura de populações. modelos de crescimento e dinâmica populacional. predação, competição e modelos matemáticos. coevolução e mutualismo. sucessão ecológica. biodiversidade, conservação e sustentabilidade.
bioestatística	análise descritiva de dados, probabilidade e modelos de probabilidade, introdução aos testes de significância, comparações entre grupos, incidência, prevalência, estudo clínico aleatorizado, correlação e regressão, tabelas de contingência, análise de variância (anova).
bioética	fundamentos da bioética. ética na pesquisa científica. utilização de animais na pesquisa experimental. pesquisa em seres humanos. ética e ciência e tecnologia. ética e meio ambiente.
biofísica	abordar os princípios dos aspectos físicos (potencial eletroquímico, movimento, pressão, osmose, difusão, temperatura e radiação) envolvidos nos sistemas biológicos, com ênfase no metabolismo celular, construção e função tecidual ou de órgãos e na sinalização intra e intercelular. introduzir a metodologia utilizada na análise de fenômenos biofísicos.
biologia celular	origem, diversidade, especialização, organização e interações entre células. morfologia, fisiologia, divisão, reprodução, sobrevivência e morte celular.
biologia do desenvolvimento em vertebrados	introdução aos conceitos básicos da biologia do desenvolvimento abordando diversos organismos vertebrados. gametas e gametogênese. biologia da fecundação. desenvolvimento embrionário. morfogênese. organogênese. controle do desenvolvimento.
biologia molecular e biotecnologia	tecnologia do dna recombinante e suas aplicações em biotecnologia. marcadores genéticos, diagnóstico molecular, transgênicos, terapia gênica, produção de biofármacos.
biologia reprodutiva de plantas	introduzir conceitos do desenvolvimento reprodutivo de plantas. apresentar fatores genéticos envolvidos no desenvolvimento reprodutivo de plantas. abordar a biologia floral e ecologia da polinização das espermatófitas e suas diferentes estratégias reprodutivas, bem como as consequências destas na estrutura genética populacional, fluxo gênico e evolução da recombinação e do sexo nos vegetais.
biologia vegetal	diversidade, importância biológica e evolução de organismos fotossintetizantes com clorofila a - ênfase em viridiplantae.
biomas brasileiros	conceito de bioma. biomas zonais e azonais. caracterização da estrutura e funcionamento dos biomas brasileiros: geomorfologia, clima, solos, vegetação e fauna. histórico da ocupação humana, situação atual e perspectivas de conservação dos biomas brasileiros.  ecossistemas aquáticos continentais naturais e artificiais: rios, lagos, reservatórios; interfaces. caracterização da estrutura e funcionamento dos ecossistemas aquáticos, marinhos  e interfaces.  aulas práticas com saída de campo.
biomateriais	biologia e bioquímica na medicina (introdução, revisão); definição de biomateriais, materiais usados em medicina: metais, polímeros, cerâmicos, vidros, materiais naturais, compósitos, materiais biocompatíveis, filmes e películas; reações do sistema biológico ao biomaterial: interação de sistemas celulares e superfícies; inflamação, toxicidade e hipersensibilidade. degradação de materiais em ambiente biológico: degradação química e bioquímica de polímeros, degradação química e bioquímica de metais e cerâmica, quebra de mecanismo no ambiente biológico, calcificação patológica de biomateriais. aplicações de biomateriais: aplicações cardiovasculares, tratamentos de trombose, implantes dentários, adesivos, aplicações oftalmológicas, ortopédicas, suturas, bioeletrodos, sensores biomédicos e biosensores, engenharia de tecidos e transplantes de orgãos. novos produtos na pesquisa de biomateriais. legislação nacional em biomateriais, bioética e biotecnologia.
bioquímica clínica	princípios gerais das determinações bioquímicas em análises clínicas, bem como os principais erros e interferentes. estudo das alterações do metabolismo de carboidratos, lipídeos, proteínas, compostos nitrogenados não proteicos, da fisiopatologia hepática, pancreática e cardíaca. desenvolvimento da habilidade de execução e interpretação dos exames utilizados para a prevenção, diagnóstico e prognóstico de doenças associadas. estudo de outras enzimas utilizadas em diagnóstico laboratorial.
bioquímica experimental	tampão biológico e experimentação em bioquímica. estrutura de biomoléculas utilizando como exemplo proteínas. estrutura primária, secundária, terciária e quaternária de proteínas. propriedades de enzimas e proteínas. cinética enzimática aplicada. técnicas de purificação e separação de biomoléculas. técnicas de análise de biomoléculas.
bioquímica funcional	estudar o metabolismo energético, abordando os princípios bioenergéticos envolvidos, bem como as reações anabólicas e catabólicas das macromoléculas biológicas (carboidratos, proteínas, lipídeos e ácidos nucléicos) em situações fisiológicas e patológicas, realizando a integração de todos estes processos ao final do curso.
